Country,City,State,Postal Code,Region
United States,Grand Rapids,Michigan,49505,Central
United States,Grapevine,Texas,76051,Central
United States,Great Falls,Montana,59405,West
United States,Greeley,Colorado,80634,West
United States,Green Bay,Wisconsin,54302,Central
United States,Greensboro,North Carolina,27405,South
United States,Greenville,North Carolina,27834,South
United States,Greenwood,Indiana,46142,Central
United States,Gresham,Oregon,97030,West
United States,Grove City,Ohio,43123,East
United States,Gulfport,Mississippi,39503,South
United States,Hackensack,New Jersey,7601,East
United States,Hagerstown,Maryland,21740,East
United States,Haltom City,Texas,76117,Central
United States,Hamilton,Ohio,45011,East
United States,Hampton,Virginia,23666,South
United States,Harlingen,Texas,78550,Central
United States,Harrisonburg,Virginia,22801,South
United States,Hattiesburg,Mississippi,39401,South
United States,Helena,Montana,59601,West
United States,Hempstead,New York,11550,East
United States,Henderson,Kentucky,42420,South
United States,Henderson,Nevada,89015,West
United States,Hendersonville,Tennessee,37075,South
United States,Hesperia,California,92345,West
United States,Hialeah,Florida,33012,South
United States,Hickory,North Carolina,28601,South
United States,Highland Park,Illinois,60035,Central
United States,Hillsboro,Oregon,97123,West
United States,Holland,Michigan,49423,Central
United States,Hollywood,Florida,33021,South
United States,Holyoke,Massachusetts,1040,East
United States,Homestead,Florida,33030,South
United States,Hoover,Alabama,35244,South
United States,Hot Springs,Arkansas,71901,South
United States,Houston,Texas,77036,Central
United States,Houston,Texas,77041,Central
United States,Houston,Texas,77070,Central
United States,Houston,Texas,77095,Central
United States,Huntington Beach,California,92646,West
United States,Huntsville,Alabama,35810,South
United States,Huntsville,Texas,77340,Central
United States,Independence,Missouri,64055,Central
United States,Indianapolis,Indiana,46203,Central
United States,Inglewood,California,90301,West
United States,Iowa City,Iowa,52240,Central
United States,Irving,Texas,75061,Central
United States,Jackson,Tennessee,38301,South
United States,Jackson,Mississippi,39212,South
United States,Jackson,Michigan,49201,Central
United States,Jacksonville,North Carolina,28540,South
United States,Jacksonville,Florida,32216,South
United States,Jamestown,New York,14701,East
United States,Jefferson City,Missouri,65109,Central
United States,Johnson City,Tennessee,37604,South
United States,Jonesboro,Arkansas,72401,South
United States,Jupiter,Florida,33458,South
United States,Keller,Texas,76248,Central
United States,Kenner,Louisiana,70065,South
United States,Kenosha,Wisconsin,53142,Central
United States,Kent,Ohio,44240,East
United States,Kent,Washington,98031,West
United States,Kirkwood,Missouri,63122,Central
United States,Kissimmee,Florida,34741,South
United States,Knoxville,Tennessee,37918,South
United States,La Crosse,Wisconsin,54601,Central
United States,La Mesa,California,91941,West
United States,La Porte,Indiana,46350,Central
United States,La Quinta,California,92253,West
United States,Lafayette,Indiana,47905,Central
United States,Lafayette,Louisiana,70506,South
United States,Laguna Niguel,California,92677,West
United States,Lake Charles,Louisiana,70601,South
United States,Lake Elsinore,California,92530,West
United States,Lake Forest,California,92630,West
United States,Lakeland,Florida,33801,South
United States,Lakeville,Minnesota,55044,Central
United States,Lakewood,Ohio,44107,East
United States,Lakewood,New Jersey,8701,East
United States,Lakewood,California,90712,West
United States,Lancaster,Pennsylvania,17602,East
United States,Lancaster,Ohio,43130,East
United States,Lancaster,California,93534,West
United States,Lansing,Michigan,48911,Central
United States,Laredo,Texas,78041,Central
United States,Las Cruces,New Mexico,88001,West
United States,Las Vegas,Nevada,89115,West
United States,Laurel,Maryland,20707,East
United States,Lawrence,Massachusetts,1841,East
United States,Lawrence,Indiana,46226,Central
United States,Lawton,Oklahoma,73505,Central
United States,Layton,Utah,84041,West
United States,League City,Texas,77573,Central
United States,Lebanon,Tennessee,37087,South
United States,Lehi,Utah,84043,West
United States,Leominster,Massachusetts,1453,East
United States,Lewiston,Maine,4240,East
United States,Lewiston,Idaho,83501,West
United States,Lincoln Park,Michigan,48146,Central
United States,Linden,New Jersey,7036,East
United States,Lindenhurst,New York,11757,East
United States,Little Rock,Arkansas,72209,South
United States,Littleton,Colorado,80122,West
United States,Logan,Utah,84321,West
United States,Long Beach,New York,11561,East
United States,Long Beach,California,90805,West
United States,Longmont,Colorado,80501,West
United States,Longview,Washington,98632,West
United States,Lorain,Ohio,44052,East
United States,Los Angeles,California,90004,West
United States,Los Angeles,California,90008,West
United States,Los Angeles,California,90032,West
United States,Los Angeles,California,90036,West
United States,Los Angeles,California,90045,West
United States,Los Angeles,California,90049,West
United States,Louisville,Kentucky,40214,South
United States,Louisville,Colorado,80027,West
United States,Loveland,Colorado,80538,West
United States,Lowell,Massachusetts,1852,East
United States,Lubbock,Texas,79424,Central
United States,Macon,Georgia,31204,South
United States,Madison,Wisconsin,53711,Central
United States,Malden,Massachusetts,2148,East
United States,Manchester,Connecticut,6040,East
United States,Manhattan,Kansas,66502,Central
United States,Mansfield,Texas,76063,Central
United States,Manteca,California,95336,West
United States,Maple Grove,Minnesota,55369,Central
United States,Margate,Florida,33063,South
United States,Marietta,Georgia,30062,South
United States,Marion,Ohio,43302,East
United States,Marion,Iowa,52302,Central
United States,Marlborough,Massachusetts,1752,East
United States,Marysville,Washington,98270,West
United States,Mcallen,Texas,78501,Central
United States,Medford,Oregon,97504,West
United States,Medina,Ohio,44256,East
United States,Melbourne,Florida,32935,South
United States,Memphis,Tennessee,38109,South
United States,Mentor,Ohio,44060,East
United States,Meriden,Connecticut,6450,East
United States,Meridian,Idaho,83642,West
United States,Mesa,Arizona,85204,West
United States,Mesquite,Texas,75150,Central
United States,Miami,Florida,33142,South
United States,Miami,Florida,33178,South
United States,Miami,Florida,33180,South
United States,Middletown,Connecticut,6457,East
United States,Midland,Michigan,48640,Central
United States,Milford,Connecticut,6460,East
United States,Milwaukee,Wisconsin,53209,Central
United States,Minneapolis,Minnesota,55407,Central
United States,Miramar,Florida,33023,South
United States,Mishawaka,Indiana,46544,Central
United States,Mission Viejo,California,92691,West
United States,Missoula,Montana,59801,West
United States,Missouri City,Texas,77489,Central
United States,Mobile,Alabama,36608,South
United States,Modesto,California,95351,West
United States,Monroe,North Carolina,28110,South
United States,Monroe,Louisiana,71203,South
United States,Montebello,California,90640,West
United States,Montgomery,Alabama,36116,South
United States,Moorhead,Minnesota,56560,Central
United States,Moreno Valley,California,92553,West
United States,Morgan Hill,California,95037,West
United States,Morristown,New Jersey,7960,East
United States,Mount Pleasant,South Carolina,29464,South
United States,Mount Pleasant,Michigan,48858,Central
United States,Mount Vernon,New York,10550,East
United States,Murfreesboro,Tennessee,37130,South
United States,Murray,Kentucky,42071,South
United States,Murray,Utah,84107,West
United States,Murrieta,California,92563,West
United States,Muskogee,Oklahoma,74403,Central
United States,Naperville,Illinois,60540,Central
United States,Nashua,New Hampshire,3060,East
United States,Nashville,Tennessee,37211,South
United States,New Albany,Indiana,47150,Central
United States,New Bedford,Massachusetts,2740,East
United States,New Brunswick,New Jersey,8901,East
United States,New Castle,Indiana,47362,Central
United States,New Rochelle,New York,10801,East
United States,New York City,New York,10009,East
United States,New York City,New York,10011,East
United States,New York City,New York,10024,East
United States,New York City,New York,10035,East
United States,Newark,Delaware,19711,East
United States,Newark,Ohio,43055,East
United States,Newport News,Virginia,23602,South
United States,Niagara Falls,New York,14304,East
United States,Noblesville,Indiana,46060,Central
United States,Norfolk,Nebraska,68701,Central
United States,Normal,Illinois,61761,Central
United States,Norman,Oklahoma,73071,Central
United States,North Charleston,South Carolina,29406,South
United States,North Las Vegas,Nevada,89031,West
United States,North Miami,Florida,33161,South
United States,Norwich,Connecticut,6360,East
United States,Oak Park,Michigan,48237,Central
United States,Oak Park,Illinois,60302,Central
United States,Oakland,California,94601,West
United States,Oceanside,New York,11572,East
United States,Oceanside,California,92054,West
United States,Odessa,Texas,79762,Central
United States,Oklahoma City,Oklahoma,73120,Central
United States,Olathe,Kansas,66062,Central
United States,Olympia,Washington,98502,West
United States,Omaha,Nebraska,68104,Central
United States,Ontario,California,91761,West
United States,Orange,New Jersey,7050,East
United States,Orem,Utah,84057,West
United States,Orland Park,Illinois,60462,Central
United States,Orlando,Florida,32839,South
United States,Ormond Beach,Florida,32174,South
United States,Oswego,Illinois,60543,Central
United States,Overland Park,Kansas,66212,Central
United States,Owensboro,Kentucky,42301,South
United States,Oxnard,California,93030,West
United States,Palatine,Illinois,60067,Central
United States,Palm Coast,Florida,32137,South
United States,Park Ridge,Illinois,60068,Central
United States,Parker,Colorado,80134,West
United States,Parma,Ohio,44134,East
United States,Pasadena,Texas,77506,Central
United States,Pasadena,California,91104,West
United States,Pasco,Washington,99301,West
United States,Passaic,New Jersey,7055,East
United States,Paterson,New Jersey,7501,East
United States,Pearland,Texas,77581,Central
United States,Pembroke Pines,Florida,33024,South
United States,Pensacola,Florida,32503,South
United States,Peoria,Illinois,61604,Central
United States,Peoria,Arizona,85345,West
United States,Perth Amboy,New Jersey,8861,East
United States,Pharr,Texas,78577,Central
United States,Philadelphia,Pennsylvania,19120,East
United States,Philadelphia,Pennsylvania,19134,East
United States,Philadelphia,Pennsylvania,19140,East
United States,Philadelphia,Pennsylvania,19143,East
United States,Phoenix,Arizona,85023,West
United States,Pico Rivera,California,90660,West
United States,Pine Bluff,Arkansas,71603,South
United States,Plainfield,New Jersey,7060,East
United States,Plano,Texas,75023,Central
United States,Plantation,Florida,33317,South
United States,Pleasant Grove,Utah,84062,West
United States,Pocatello,Idaho,83201,West
United States,Pomona,California,91767,West
United States,Pompano Beach,Florida,33068,South
United States,Port Arthur,Texas,77642,Central
United States,Port Orange,Florida,32127,South
United States,Port Saint Lucie,Florida,34952,South
United States,Portage,Indiana,46368,Central
United States,Portland,Oregon,97206,West
United States,Providence,Rhode Island,2908,East
United States,Provo,Utah,84604,West
United States,Pueblo,Colorado,81001,West
United States,Quincy,Massachusetts,2169,East
United States,Quincy,Illinois,62301,Central
United States,Raleigh,North Carolina,27604,South
United States,Rancho Cucamonga,California,91730,West
United States,Rapid City,South Dakota,57701,Central
United States,Reading,Pennsylvania,19601,East
United States,Redding,California,96003,West
United States,Redlands,California,92374,West
United States,Redmond,Oregon,97756,West
United States,Redmond,Washington,98052,West
United States,Redondo Beach,California,90278,West
United States,Redwood City,California,94061,West
United States,Reno,Nevada,89502,West
United States,Renton,Washington,98059,West
United States,Revere,Massachusetts,2151,East
United States,Richardson,Texas,75080,Central
United States,Richmond,Virginia,23223,South
United States,Richmond,Kentucky,40475,South
United States,Richmond,Indiana,47374,Central
United States,Rio Rancho,New Mexico,87124,West
United States,Riverside,California,92503,West
United States,Rochester,New York,14609,East
United States,Rochester,Minnesota,55901,Central
United States,Rochester Hills,Michigan,48307,Central
United States,Rock Hill,South Carolina,29730,South
United States,Rockford,Illinois,61107,Central
United States,Rockville,Maryland,20852,East
United States,Rogers,Arkansas,72756,South
United States,Rome,New York,13440,East
United States,Romeoville,Illinois,60441,Central
United States,Roseville,Michigan,48066,Central
United States,Roseville,Minnesota,55113,Central
United States,Roseville,California,95661,West
United States,Roswell,Georgia,30076,South
United States,Round Rock,Texas,78664,Central
United States,Royal Oak,Michigan,48073,Central
United States,Sacramento,California,95823,West
United States,Saginaw,Michigan,48601,Central
United States,Saint Charles,Illinois,60174,Central
United States,Saint Charles,Missouri,63301,Central
United States,Saint Cloud,Minnesota,56301,Central
United States,Saint Louis,Missouri,63116,Central
United States,Saint Paul,Minnesota,55106,Central
United States,Saint Peters,Missouri,63376,Central
United States,Saint Petersburg,Florida,33710,South
United States,Salem,Virginia,24153,South
United States,Salem,Oregon,97301,West
United States,Salinas,California,93905,West
United States,Salt Lake City,Utah,84106,West
United States,San Angelo,Texas,76903,Central
United States,San Antonio,Texas,78207,Central
United States,San Bernardino,California,92404,West
United States,San Clemente,California,92672,West
United States,San Diego,California,92024,West
United States,San Diego,California,92037,West
United States,San Diego,California,92105,West
United States,San Francisco,California,94109,West
United States,San Francisco,California,94110,West
United States,San Francisco,California,94122,West
United States,San Gabriel,California,91776,West
United States,San Jose,California,95123,West
United States,San Luis Obispo,California,93405,West
United States,San Marcos,Texas,78666,Central
United States,San Mateo,California,94403,West
United States,Sandy Springs,Georgia,30328,South
United States,Sanford,Florida,32771,South
United States,Santa Ana,California,92704,West
United States,Santa Barbara,California,93101,West
United States,Santa Clara,California,95051,West
United States,Santa Fe,New Mexico,87505,West
United States,Santa Maria,California,93454,West
United States,Scottsdale,Arizona,85254,West
United States,Seattle,Washington,98103,West
United States,Seattle,Washington,98105,West
United States,Seattle,Washington,98115,West
United States,Sheboygan,Wisconsin,53081,Central
United States,Shelton,Connecticut,6484,East
United States,Sierra Vista,Arizona,85635,West
United States,Sioux Falls,South Dakota,57103,Central
United States,Skokie,Illinois,60076,Central
United States,Smyrna,Georgia,30080,South
United States,Smyrna,Tennessee,37167,South
United States,South Bend,Indiana,46614,Central
United States,Southaven,Mississippi,38671,South
United States,Sparks,Nevada,89431,West
United States,Spokane,Washington,99207,West
United States,Springdale,Arkansas,72762,South
United States,Springfield,Virginia,22153,South
United States,Springfield,Ohio,45503,East
United States,Springfield,Missouri,65807,Central
United States,Springfield,Oregon,97477,West
United States,Sterling Heights,Michigan,48310,Central
United States,Stockton,California,95207,West
United States,Suffolk,Virginia,23434,South
United States,Summerville,South Carolina,29483,South
United States,Sunnyvale,California,94086,West
United States,Superior,Wisconsin,54880,Central
United States,Tallahassee,Florida,32303,South
United States,Tamarac,Florida,33319,South
United States,Tampa,Florida,33614,South
United States,Taylor,Michigan,48180,Central
United States,Temecula,California,92592,West
United States,Tempe,Arizona,85281,West
United States,Texarkana,Arkansas,71854,South
United States,Texas City,Texas,77590,Central
United States,The Colony,Texas,75056,Central
United States,Thomasville,North Carolina,27360,South
United States,Thornton,Colorado,80229,West
United States,Thousand Oaks,California,91360,West
United States,Tigard,Oregon,97224,West
United States,Tinley Park,Illinois,60477,Central
United States,Toledo,Ohio,43615,East
United States,Torrance,California,90503,West
United States,Trenton,Michigan,48183,Central
United States,Troy,New York,12180,East
United States,Troy,Ohio,45373,East
United States,Tucson,Arizona,85705,West
United States,Tulsa,Oklahoma,74133,Central
United States,Tuscaloosa,Alabama,35401,South
United States,Twin Falls,Idaho,83301,West
United States,Tyler,Texas,75701,Central
United States,Urbandale,Iowa,50322,Central
United States,Utica,New York,13501,East
United States,Vacaville,California,95687,West
United States,Vallejo,California,94591,West
United States,Vancouver,Washington,98661,West
United States,Vineland,New Jersey,8360,East
United States,Virginia Beach,Virginia,23464,South
United States,Visalia,California,93277,West
United States,Waco,Texas,76706,Central
United States,Warner Robins,Georgia,31088,South
United States,Warwick,Rhode Island,2886,East
United States,Washington,District of Columbia,20016,East
United States,Waterbury,Connecticut,6708,East
United States,Waterloo,Iowa,50701,Central
United States,Watertown,New York,13601,East
United States,Waukesha,Wisconsin,53186,Central
United States,Wausau,Wisconsin,54401,Central
United States,Waynesboro,Virginia,22980,South
United States,West Allis,Wisconsin,53214,Central
United States,West Jordan,Utah,84084,West
United States,West Palm Beach,Florida,33407,South
United States,Westfield,New Jersey,7090,East
United States,Westland,Michigan,48185,Central
United States,Westminster,California,92683,West
United States,Wheeling,West Virginia,26003,East
United States,Wheeling,Illinois,60090,Central
United States,Whittier,California,90604,West
United States,Wichita,Kansas,67212,Central
United States,Wilmington,Delaware,19805,East
United States,Wilmington,North Carolina,28403,South
United States,Wilson,North Carolina,27893,South
United States,Woodbury,Minnesota,55125,Central
United States,Woodland,California,95695,West
United States,Woodstock,Illinois,60098,Central
United States,Woonsocket,Rhode Island,2895,East
United States,Yonkers,New York,10701,East
United States,York,Pennsylvania,17403,East
United States,Yucaipa,California,92399,West
United States,Yuma,Arizona,85364,West
